A15
Harganya murah dibandingkan pasar lain
Makanan enak

Makanannya enak
Banyak tenant atau toko yang menjual kebutuhan sehari-hari
Makanan enak
Pasar lebih ramai dan variasi tempat makan banyak
Pasar lengkap
Pasarnya ramai, lengkap, dan banyak tempat makan
Harga terjangkau 
Harganya murah dan kualitasnya oke untuk pedagang kuliner seperti saya
Pasarnya lengkap
Harga dipasar murah
Dekat dengan rumah 
Harga sayur murah dibandingkan pasar lain
Pasar lengkap
Dekat dengan rumah, harganya kopinya murah
Karena lengkap barang yg di jual, akses mudah
Harganya terjangkau, pasar bersih, dan dekat dengan rumah
Harga sayurnya murah dibandingkan pasar lain
Pasar bersih dan lengkap
Keamanan dan kebersihan nya bagus
Kuliner makanan malam enak tapi lama lama bosen
Ada tempat makan dan kopi cocok untuk sarapan sambil nemenin istri
Karena lengkap semua yg di jual
Barangnya beragam dan bersaing harganya
Karena lebih komplit 
Pasar dekat dan lengkap
Dekat dengan rumah dan harganya terjangkau
Karena luas dan makanan nya variatif 
Pilihan makanan banyak dan tersedia makanan non halal
Tempatnya besih, parkir luas, dan lengkap
Dekat dengan rumah dan pasarnya bersih
Pasar bersih, dekat dengan rumah, dan banyak varian bahan kebutuhan sehari-hari
Barang lengkap dan dekat
Pasar lengkap
Parkiran lebih diperbaiki
Mudah di jangkau
Lokasi dekat dengan mall
Pasar lengkap
Pasar bersih, harga bisa bersaing, dan dekat dengan rumah
Bnyk isinya 
Pasarnya bersih
Dekat dengan rumah, pasarnya bersih
Lokasi strategis 
Bagus rapih
Makanan lengkap, pasar bersih, akses parkir cukup bagus
Lokasi yg strategis 
Banyak makanan enak 
Karena makanan nya murah dan lengkap 
Barangnya lumayan lengkap dan harganya murah dibandingkan tempat lain
Biasa aja kurang spesial 
Pilihan makanan banyak dibandingkan pasar lain
Makanan nya lengkap 
Cocok dan banyak pilihan untuk makan siang
Banyak makanan enak dan bersih dibandingkan pasar lain
Pasarnya bersih
Lengkap, banyak makanan enak
Barangnya lengkap dan terjangkau untuk beli banyak
Dekat rumah, pasarnya tidak terlalu besar tapi bervariasi tenantnya
Lengkap
Pasar nya banyak pintu masuknya, bersih, dan banyak tenant
Pasar bersih
Pasarnya bersih dan pasarnya bisa pembayaran QRIS
Pasar bersih, metode pembayaran qris
Lokasi strategis 
Pasarnya bersih dan dekat rumah
Pasar bersih, lengkap
Dekat dengan rumah, Barang lengkap serta terdapat kuliner
Lengkap apa yg di butuhkan, parkir free
Pasar bersih, lengkap, dan nyaman
Dekat dari tempat anak sekolah, makanannya variatif, dan bersih
Nyaman, lokasi strategis 
Pasar nya bersihi, dekat dari rumah, dan harganya terjangkau
Paling bersih, barang lengkap
Kemudahan, kelengkapan dan harga

Pasar yang cukup lengkap

Bersih , layout baik, tidak terlalu crowded 
Ada temen jualan liang teh di situ
Pasar bersih lengkap tertata dengan rapih
Karena pasarnya bersih dan cukup lengkap
Pasarnya lumayan lengkap dan bersih serta nyaman dan banyak makanan jg
Lauk ikan dan ayam kampungnya fresh, bumbu dapur dan buah2an juga banyaj variasi di sana
Karna barang yg dicari ada, byk yg jual snack dan bakmi jg ada.. sarapan jg ada semua 
Karena lengkap dan pasarnya bersih
Karena pasarnya dekat dari tempat tinggal saya dan bersih
Pasarnya bersih, rapi, enak dan lengkap, serta parkir mudah
Ada toko kue enak dan lengkap
dekat
Sayur segar, makanan enak, daging segar, ikan segar
karena lebih lengkap dan bersih lokasi dekat dibanding pasar lainnya
Lokasi sangat strategis.  Gampang dijangkau oleh kendaraan umum..  dekat mal
Tempatnya bersih dan nyaman untuk brlanja

Strategis,barang lengkap,mudah diakses

Lengkap
Barang lumayan komplit dan dekat mall
Produk yg lumayan lengkap, segar dan lokasi yg strategis
Lumayan dekat dan bisa langsung ke mal

Lokasi strategis,  barang lengkap dan bervariasi , makanan banyak yg enak
Bahan makanan lengkap,fresh
letaknya dekat rumah
Bersih, lokasi mudah ditemukan
Ya pasarnya lengkap. Penjualnya juga enak2, kalau uda kenal bnyk dilebihin. Jd kita juga enak belinya. Dtg, uda tau kita mau yg mana aja. Krna uda sering belanja, jd seller uda tau.. 
Sesuai pilihan yang sudah kami pilih

Pasar layout tidak ribet, parkir luas, tidak panas

Dagingnya fresh dan banyak pilihan
Cuma taunya ini doang.
deket mall, lumayan lengkap, harga msh terjangkau

Karena semua uda ada di pasar
Letaknya strategis
Pasar ya bersih 

Lumayan lengkap, tpt nya bersih, parkir nya bnyk 
Cari parkir gampang dan pasti dapat meski ramai sekalipun, karena tidak ada yang di cone. Satpam standby di beberapa titik parkiran. Tempat makan cukup banyak pilihan
Karena pasar modern tidak becek dan bau serta dekat dr rumah. Barangnya pun berkualitas karena ada evaluasi dr pihak pasar untuk selalu memajukan kualitas dan penataan di pasar


Bagus lokasi dekat mall, parkir gampang, makanan disana enak2
Banyak makanan enak ky cakwe, bakmi kalimantan, minuman sehat enak, jajanan ada pagi dan malam buat kuliner
Sudah nyaman 
Lumayan oke

Lokasi dekat rumah, produk lengkap, harga terjangkau
Barang lengkap, bersih, layout pasar juga tertata baik


Karena lengkap dan nyaman, banyak tenant2nya, one stop shopping

Selain dekat, pasar cukup bersih dan pilihan kebutuhan pokok tercukupi
Karena sudah cukup lengkap kebutuhan yg diperlukan disana
Pasarnya bersih, lokasi strategis, barang2 yg dijual lengkap, harga terjangkau
Warga gading seepong harus ksana krn dekat mall
Makannya enak 
Cukup lengkap di bahan bumbu dapur, ikannya juga segar, gading bagus, penjualnya ramah juga , dah byk langganan pedanggang 

Produk bagus, harga lumayan terjangkau, dekat dengan kuliner.
Bersih, dekat, harga terjangkau, parkir mudah, cukup lengkap
Bahan masakan lengkap , ada juga toko kosmetik, toko sembako nya juga lengkap, daging daging fresh, dan warung warung makan nya juga enak dan terjangkau 
Variatif
Lokasi dekat perumahan, mudah dijangkau, cukup lengkap, bersih
brg segar n murah - lengkap
Cukup lengkap bersih dan dekat di gadinng serpong
One stop shopping & lengkap
Sudah langganan karena dekat rumah
Karena semua kebutuhan bisa dalam satu tempat jadi sangat recommended 
Barang cukup lengkap, harga terjangkau, dekat dengan Mall
cukup lengkap dan bersih
Sangat murah meriah , dan sangat banyak makanan enak di sana

Pasar bersih dan mudah parkir
Cukup bersih, baeang cukup lengkap, parkir gampang dan banyak makanan
Barang cukup lengkap, produk fresh, dan jajanan pasar menarik
Karna banyak hal yang d jual di sana
Lengkap,makanan enak,nyaman,bersih,parkir mudah
Nyaman, bersih , & barang yg kita butuh kan ada semua, 
Karena lengkap untuk belanja bulanan ataupun krbutuhan sehari2, dgn pasar modern yg mengusung tradisional banyak makanan2 / jajanan nostalgia kuliner bikin betah belanja d sinpasa

Karna terjangkau 
Ya karena barangnya lengkap,jadi gak usah pindah2 cari lokasi bahkan barang import juga banyak terus ada juga langgan saya seperti soto mie dan mie apaw
Harga bagus dan lengkap
Relevan
Super lengkap 

Karena pasarnyw sangat lengkap
Karena tempat yang cukup nyaman di bandingkan dengan pasar yang lain dan produk produk yang di jual masih fresh

Agar semua tau bahwa pasar modern kumplit semua ada
Terbaik
Karena sangat memenuhi kebutuhan saya
Harga trjangkau,deket rumah,pasar bersih parkir mudah Dan aman
Karena tempat shopping/belanja terlengkap dan nyaman
Fasilitas memadai,Lokasi bersih,Pilihan sangat bervariasi dan Harga Bahan pokok seperti sayur,Daging,Beras lebih terjangkau dan seger seger.
Pasar Modern BSD adalah tujuan belanja yang lengkap dengan berbagai kebutuhan
Pasar yang lengkap
Harga terjangkau 
Harga terjangkau, pasarnya bersih, mudah untuk parkir, dan penjualnya ramah
Selain barang lengkap dan murah, akses mudah di jangkau, parkir luas, dan kondisi pasar bersih dan nyaman.
Banyak yang menjual sayuran dan ikan segar. Penataan toko jg enak nyaman ga bikin ribet
Lengkap , terjangkau , dan Nyaman 
cukup bagus
Lengkap, murah, pasar bersih 
Ketersediaan barang yang dijual lengkap
Karena pasar nyaman dan juga harga terjangkau kualitas baik serta dilengkapi dengan fasilitas parkir yang baik dan tentunya banyak promo yang paling diminati kaum ibu -ibi

karena lebih baik dari pilihan yang lain dan tempatnya ok
Bersih

Harga terjangkau dr pasar modern lainnya
Karna sangat nyaman belanja di Pasar Modern BSD
Karena pasar ini sangat bersih dan nyaman barang yang tersedia di sini juga sangat lengkap
Karena nyaman untuk belanja dengan harga terjangkau
karena sesuai pengalaman saya . tidak mengecewakan
Rapi, bersih, harga terjangkau
Tersedia berbagai kebutuhan rumah tangga dengan harga terjangkau
Karena lengkap , harga terjangkau , kenyamanan berbelanja 
Bahan baku sangat mudah di dapat dan sangat berfariatif sayur daging yang sangat segar lengkap mudah di jangkau
Produknya lengkap dan lokasi pasar mudah diakses
Kualitas barang bagus dan karyawan ramah
Lengkap, murah, 
Karena lengkap, beli apa saja mudah didapat.  Selain itu di pasar modern BSD itu banyak promo, diskon besar-besaran, harga terjangkau, hemat waktu karena lumayan dekat dari rumah, peralatan lengkap, bersih, tempat parkir sangat luas, sejuk, sangat rapi
Tempatnya bagus
Pasar nya nyaman bersih dan lengkap

Harga terjangkau kualitas bagus barang yang di cari semuanya ada
Karena pasar nya bersih,, harga juga terjangkau,, bahan makanan lengkap 
Pasar modern dan merakyat
Karena pasar sinpasa summarecon serpong barangnya lengkap, murah, dan bersih
Pasar tdk terlalu besar, kebersihan yang cukup baik dibanding pasar Paramount
Karena product yg dijual dsana sangat lengkap, fress, Harga terjangkau & makanan dsana enak2  
Saya rekomendasikan bagi org2 yg dekat rmh nya dr pasar ini...drpd jauh2 dan bs tiap hari kepasar krn parkir gratis sampai jam 09.00
harga terjangkau, kualitas bagus, segar, lokasi terjangkau
Tempat strategis dan lengkap
Karena terletak di tengah kota, dekat dengan fasilitas perkantoran, memiliki rute yang mudah di jangkau, pasar bersih dan banyak variasi sayuran nya.
Dekat pemukiman mudah akses dan nyaman
Karena tersedia semua kebutuhan keluarga
Lengkap,  parkir mudah,  byk makanan enak
Karena pasar Sinpasa Summarecon Serpong mempunyai fasilitas parkir mobil yang mudah, pasar yang bersih, tersedia produk yang segar fresh dan lengkap dengan harga terjangkau, di tambah lagi selalu ada promo dan masih bnyk lagi keuntungan lainnya. 

Cukup terjangkau dan dekat
Pasar Bersih, aman dan produk yang sangat komplit dengan harga yang bersaing 
Pasar ny bersih, aman , lengkap dan harga ny juga terjangkau

Lokasinya stategis, bersebelahan dengan mall dan food court, produk yg dijual fresh dan tempatnya bersih dan aman.
Banyak tenan yang menarik dan even even besar 
Karena produk berkualitas fresh dan terjangkau 
Pasar modern terlengkap dan bersih 
Karena barang yang dijual lengkap, harga terjangkau dan produk berkualitas

lengkap, bersih, barangnya fresh (sayuran ikan ayam dll)
Karena cocok buat belanja
Karena pasar sinpasa Summarecon Serpong tempatnya nyaman, bersih , tertata dengan rapih sesuai kebutuhan pencarian bahan para customer, parkiran luas dan rapih , harga terjangkau dengan kualitas terbaik, selalu fresh dan lengkap, pedagang ramah. Masih banyak lagi deh keunggulannya. Wajib banget cobain belanja disini. Selesai belanja bisa wisata kuliner juga disini. 
Lokasinya nyaman dengan fasilitas pasar yang bisa digunakan dengan baik
Tempat yg nyaman, lengkap bersih dan sekaligus kuliner an
Karena tidak terlalu jauh dari rumah, komplit dan nyaman
Karena pasar nya lengkap 
Kelengkapan persedian juga barang nya berkualitas
Banyak promo,harga terjangkau, banyak pilihan
Karena pasarnya bagus dan tertata dengan rapih. Komplit segi bahan pokok maupun sandang tersedia

Karena lengkap, bisa untuk memenuhi kebutuhan rumah tangga dan juga sekalian untuk jalan2
Pasar nya bersih,harga murah,produk fresh dan baik
Lengkap, murah, besar
Untuk kemudahan berbelanja, aman, nyaman dan senang sehingga kepuasan komsumen tercapai
Karena kualitas barang nya bagus , harga juga terjangkau 
Karena lengkap, berkualitas dan harga terjangkau 
Karena pasarnya strategis dekat dengan stasiun dan angkot .dan barang nya lengkap .
Pasar bersih, nyaman, tidak sempit

Pasar modern yang terletak di pusat kota jadi transportasi manapun bisa untuk diakses agar bisa mengunjungi atau menyempatkan waktu sekaligus berbelanja di Pasar Sinpasa Summarecon Serpong biar bisa menikmati sensasi berbelanja di pasar modern
Lokasi Pasar Sinpasa yang sangat strategis, membuat sangat mudah untuk dijangkau. Selain itu kelengkapan barangnya juga merupakan salah satu alasan saya merekomendasi.
Aman nyaman dan tenang
Karna tempat nya bersih ,produk bagus & segar dan dekat dari rumah
Menurut saya, pasar sinpasa summarecon Serpong sangat luas, ada berbagai macam tenant, area bermain anak juga ada, restoran, tempat nongkrong, lengkap deh, tempat buat hangeout bareng keluarga.
Lengkap bagi yg mau belanja kebutuhan utama hingga jajan-jajan
Karena tempatnya bersih, parkir aman, harga terjangkau dan produk nya berkualitas dan fresh

Dekat, cukup lengkap, bersih
Bersih, bnyak pilihan, semua yang ada di pasar sangat segar2
Krn lengkap, makanan enak, banyak jajanan pasar, 
Strategis, Bersih dan Nyaman
Lengkap
Barang lengkap. Harga murah. Sudah merekomendasikan 5-8 keluarga ke salah satu penjual/tenant sayur disana yang rekomen
Jauuuh!! Ujung berung, siapa pula yg mau capek temen2 saya belanja sayur dsni, klo transportasinya MRT & BUS MODA 😆😂🤣🤭 karna dekat kantor mkanya saya ksni, tdk dekat rumah

Karena pasar 8 Alam Sutera merupakan Salah satu pasar modern yang nyaman dan mudah di akses ,selain itu barang yang segar dan lengkap serta makanan dan kopi yang enak, membuat pasar 8 Alam Sutera , tempat belanja untuk semua orang.
Tempatnya nyaman, bersih, harga produk murah, produk pangan lengkap 
Cukup puas dengan pelayanan pasar modern BSD
Utk yg ekonomi menengah keatas, otomatis mau yg nyaman dan lengkap, krn tdk  memasalahkan harga
Harga terjangkau, makanan/kuliner enak, parkir mudah


Pasarnya bersih jadi nyaman
Bersih dan sayurnya ckup bagus, tapi sinpasa termasuk pasar yg mahal hehe
Bersih dan lengkap 
Bersih parkirnya teratur harga lumayan murah² juga

Barang2 cukup komplit
Lengkap ,bersih ,harga terjangkau

tempat nyaman, bersih, lumayan lengkap
Karena lokasi dekat, parkir mudah dan harga terjangkau
Lengkap
Bahan makanan cukup lengkap jadi tidak harus cari di berbagai pasar lagi
Karena pasar terbaik dan banyak promonya 
Tempatnya bersih, kualitas sayur bagus hanya saja agak jauh dr rumah saya 

Krn sudah bnyk yg tau jd ga perlu banyak rekomendasi
Nyaman ,bersih ,dan lumayan Deket rumah


Pasar bersih dgn tempat parkir luas dan barang cukup lengkap, harga bersaing

Banyak kuliner enak 

Sangat nyaman


karena bagus aman nyaman
Untuk yang ingin mendapatkan kualitas yang bagus, aku rekomendasikan pasar Sinpasa ini
Karena semua ada di sinpasa summarecon serpong , tempat nya luas dan bersih. Recomended
Karna harga terjangkau dan produk selalu fresh 
Karena menurut saya pasar sinpasa Summarecon Serpong tempat belanja yg paling tepat 
Karna menurut saya pasar nya lumayan lengkap
Pasar bagus dan lumayan lengkap..bisa buat healing jalan2 sekedar cuci mata
Tempat nyaman barang cukup lengkap

lokasi strategis , parkir mudah , harga barang terjangkkau. barang masih sangat segar
Karna lengkap
Destinasi bagi yang ingin berbelanja sekalian kulineran dan bisa sekalian shopping ke mall. Lokasi pasar strategis, pasar bersih, lengkap, kuliner nya banyak. Selain belanja bisa sekalian nongkrong bareng
Karna pasar sinpasa sumarecon serpong samgat brsih , nyaman , barang nya pun berkualitas
Karena semua kebutuhan ada disitu
Karna tempat nya bersih ,lengkap,dan semua nya segar
Komplit, harga terjangkau, banyak jenis atau variasi, berkualitas, bersih. 
karena saya sangat puas belanja disana
Karena harga terjangkau dan kondisi pasar juga bersih dan aman
Karena disana cukup banyak barang/item jualannya yang kebetulan banyak dibutuhkan untuk dibeli jadi bisa jadi One Stop shoping
Makanan lengkap dan cari parkir mudah
Karena belanja lebih lengkap dan praktis..bisa online juga..banyak pilihan
Barangnya lengkap, fresh
Selain barang yang lengkap, harga nya pun murah, ditambah dengan kualitas barang yang terjamin dan juga kenyamanan saat berbelanja
berkualitas dari segala hal
Belanja lengkap,ada diskon pastinya,bersih ,parkir luas dan aman serta nyaman untuk keluarga.
keseluruhan untuk pasar modern sangat nyaman dan memuaskan pengunjung
Selain mudah parkir pasar modern paramont menjual berbagai perlengkapan rumah anda, tempat nya bersih nyaman dan dekat dengan mall 
Bersih, rapi, aman, banyak makanan enak
Enak, bersih, nyaman, murah
Lokasi dan lengkap
bersih, modern, tidur bau, letak yang strategis, mudah di jangkau
tempat yang cukup strategis dan pengelola yang sangat profesional
Mantap

.
Ada beberapa tenant yang emang cuman ada di sinpasa yang rekomen
Lumayan lengkap dan abis belanja bisa ke mall
tidak ada yang pasar bersih yang dekat rumah / lebih mudah dijangkau selain pasar modern paramount
